id,country,code,wlnyw,lnndg,lnwi,GEO,Africa,Americas,Asia,Europe,Oceania
57,Germany,DEU,10.84707,1.609438,3.134972,Europe,0,0,0,1,0
58,Ghana,GHA,7.495542,2.051637,3.13975,Africa,1,0,0,0,0
59,Greece,GRC,10.42774,1.609438,3.20442,Europe,0,0,0,1,0
60,Guatemala,GTM,8.500664,2.257383,2.780408,Americas,0,1,0,0,0
61,Guinea,GIN,6.991137,2.04086,2.975208,Africa,1,0,0,0,0
62,Guinea-Bissau,GNB,6.929195,1.970642,1.476014,Africa,1,0,0,0,0
63,Guyana,GUY,8.29183,1.555147,3.168677,Americas,0,1,0,0,0
64,Haiti,HTI,7.226209,1.96691,3.308238,Americas,0,1,0,0,0
65,Honduras,HND,8.052888,2.114254,3.249304,Americas,0,1,0,0,0
66,"Hong Kong SAR, China",HKG,10.34977,1.937152,3.277364,Asia,0,0,1,0,0
67,Hungary,HUN,9.662326,1.609438,3.234663,Europe,0,0,0,1,0
68,Iceland,ISL,10.84707,1.836998,3.185133,Europe,0,0,0,1,0
69,India,IND,7.130899,2.128628,3.201709,Asia,0,0,1,0,0
70,Indonesia,IDN,8.07536,1.82773,2.92553,Asia,0,0,1,0,0
71,"Iran, Islamic Rep.",IRN,8.955448,1.941548,3.443794,Asia,0,0,1,0,0
72,Iraq,IRQ,8.947976,2.257383,1.070909,Asia,0,0,1,0,0
73,Ireland,IRL,10.84707,1.848721,3.168302,Europe,0,0,0,1,0
74,Israel,ISR,10.68258,2.12764,3.053643,Asia,0,0,1,0,0
75,Italy,ITA,10.84707,1.609438,3.017083,Europe,0,0,0,1,0
76,Jamaica,JAM,8.922658,1.934999,,Americas,0,1,0,0,0
77,Japan,JPN,10.84707,1.609438,3.309988,Asia,0,0,1,0,0
78,Jordan,JOR,8.482101,2.02546,3.049989,Asia,0,0,1,0,0
79,Kazakhstan,KAZ,8.830066,1.219819,2.851764,Asia,0,0,1,0,0
80,Kenya,KEN,7.393263,2.134614,2.815935,Africa,1,0,0,0,0
81,"Korea, Rep.",KOR,9.94666,1.806179,3.453689,Asia,0,0,1,0,0
